"module","module_size","overlap","p","FDR","genes"
"14","4424","231","3.0866e-17","7.0000e-15","SSPN;GNPDA2;PCSK1;TYW1B;CD36;RAPGEF4;OSBPL1A;MARCH6;MARCH1;TNRC6B;KIAA1429;RASAL2;ASB3;SETD2;ADAMTS3;NFE2L3;SYNJ2BP;FAM46A;PIK3CG;DOCK7;MARCKS;SPTLC3;EVI5;TMEM57;ZNF664;SLC38A6;ERBB4;SCAMP1;DAAM1;DLGAP2;TSC22D2;SEMA3C;LRRC2;LPP;NEGR1;CSNK1G3;BAZ1B;MACROD2;HMGCR;ATP2B1;DICER1;UBR1;TMEM161B;KLHL8;USP37;AKAP6;RBM43;SCARB2;PTPN11;RFX7;NRXN3;GRB14;TCF7L2;PTEN;L3MBTL3;PLEKHA1;ANGPTL1;GUCY1B3;RNF6;SPTY2D1;ARHGAP26;HSD17B12;DNAJC27;GLIS3;FUBP1;TTLL7;PDS5B;CNTN4;EDNRA;SWAP70;FAM13A;MPHOSPH9;DDX59;KIAA1462;AFF1;FPGT-TNNI3K;GUCY1A3;FBXL17;JMJD1C;PKN2;EHBP1;TLR4;FIGN;KCNK17;PBRM1;FAM212B;MMS22L;PTPDC1;SLC39A8;PAX6;TP53INP1;ACAP2;MIA3;ZNF131;ITPR2;FGF2;ZEB2;ETV1;POC1B;CAMSAP2;TCF19;USP53;TOP1;MPP3;ELOVL4;PCDH17;PRDM5;TTC39B;NOV;ATXN2;ZNF507;FOXP2;MAP3K1;RAD23B;GPC6;HDAC9;TNIK;FAM120A;JAZF1;ZFHX3;TLE4;SLC4A7;AKAP12;SACS;TBX5;IDE;MAGI2;CBX1;FLT1;ENPEP;ZBTB10;SNX13;LPAL2;SNX10;MECOM;ALCAM;PDE3A;C4orf33;RABEP1;REEP3;PEX5L;CADM2;CADM1;TGFBR3;LYPLAL1;LAMA2;BCL2L2-PABPN1;COL25A1;FRK;SULT1A2;SATB2;ADAM23;PTBP2;ANKS1B;TYW5;IGF2BP2;PROX1;TNFAIP8;METTL8;KCNJ2;CAPZA1;TRPS1;VPS26A;EIF2AK4;ALDH2;ABCA6;MET;ABCA1;RBMS1;FAM117B;HIVEP1;ABCA8;HMGXB4;DNM3;CPEB4;NUFIP1;BMPR1A;SRBD1;ARL15;SEMA6D;MAP9;SEC16B;ZNF12;COBLL1;AP3B1;KLF12;CPNE8;G6PC2;DPYD;C6orf106;ZC3HC1;UBTF;PXK;KLF5;PTPRD;SOX5;KLF9;PLS1;VWC2;LRRC7;ULK4;CALCRL;CD47;INTS8;REST;ATG4C;AR;POU5F1;CREB1;EBF1;STK39;MTAP;RASA2;LRP1B;DMXL2;PLEKHG1;PPP1CB;NCK1;TNNI3K;CALCR;CLIP1;PDK1;RND3;GGNBP2;GORAB;PPP3CA;TMEM167A;BCL2;CMTM6;SPATA5;ZNF652"
"29","8086","355","3.0000e-15","3.1600e-13","HIST1H4C;SSPN;TYW1B;CYP46A1;COMMD7;SPTLC3;TMEM57;LMBRD1;HBS1L;B3GALT4;NUP93;CEP68;MACROD2;ABLIM3;IQCK;AKAP6;GTF2F2;PARP12;GRB14;PTEN;ANGPTL4;ANGPTL1;LACTB;CTBP2;TCF19;HSD17B12;RASGRP1;PDS5B;EDNRA;SWAP70;ADARB1;CHIC2;APOB;SOX17;FBXL17;DYNC2LI1;ABCA1;FAM212B;SAMM50;SLC39A8;INSIG2;COL4A2;NUFIP1;ZNRF3;CAMSAP2;TOP1;PRDM5;CAHM;PRDM8;RCAN2;CAMK4;SLC4A7;MTIF3;CDC123;GPRC5B;ENPEP;TMEM18;ST7L;BANK1;CAPZA1;F3;PINX1;SPAG16;SPAG17;ABCA6;PBRM1;PRKD1;ABCA8;CPEB4;PSMD6;SRBD1;ARL15;PRC1;ZNF12;COBLL1;DPYD;UBTF;KLF5;HSD17B4;KLF13;TTLL7;REST;ABO;ATG4C;CREB1;DMXL2;BACE2;NCK1;BNC2;RND3;PPP3CA;CMTM6;GNPDA2;PPP2R3A;OSBPL1A;MARCH6;RASAL2;MARCH8;EIF3H;ASB3;RARB;NFE2L3;SYNJ2BP;CLIP1;ZFP64;CDKN2A;LIPG;DAAM1;TSC22D2;UBE2R2;LPP;ADH5P4;RBM43;SCARB2;RFX7;NRXN3;VIM;PLEKHA1;MMAB;FOXP2;GGCX;SNX5;RPL27A;FUBP1;SLC44A3;CNTN4;MPHOSPH9;DDX59;ZNF608;CCNE1;GCC1;MCTP2;CSK;PALM2;FIGN;MRAS;UBE2E3;PHLDB1;DEPDC1;PCDH17;ZNF507;TMEM133;HDAC9;ZFHX3;TMEM161B;CSMD3;KIF11;ITIH4;CBX1;FLT1;ZBTB10;MECOM;ALCAM;FANCL;CADM2;TGFBR3;COL25A1;FRK;GNB1;SATB2;IGF2BP2;CNNM2;BUD13;ALDH2;TUB;ST6GAL1;AP3S2;SEMA6D;SOX5;YWHAZ;CEBPA;KDM4C;C3orf38;INTS8;EBF1;LYPLAL1;CALCR;SSR1;PMAIP1;CD36;RAPGEF4;SLC30A8;RANBP10;CPPED1;CERS2;POC1B;MAP3K1;MAGI2;BRCA2;CETP;ERBB4;LRRC7;LRRC2;HMGCR;DICER1;SETD2;ROR2;USP37;RSPO3;NME7;PTPN11;TCF7L2;GUCY1B3;COPB1;DNAJC27;DOCK7;IFNGR1;SEC16B;FAM13A;SKI;XRCC4;JMJD1C;THADA;EHBP1;PTPDC1;TP53INP1;PTPN2;FAM117B;GNAS;PEX5L;STK39;GGNBP2;ATP6AP1L;TNIK;RAF1;SNX13;SNX10;PDE3A;HOXA11;CBLN1;RABEP1;ZEB2;ZNF101;GPR85;KIAA1456;ACSS2;SRR;ADAM23;TYW5;KCNJ2;GALNT14;TRAFD1;GALNT10;ADRB1;MYO16;HMGXB4;BMPR1A;RBMS1;MAP2K5;MAP9;AP3B1;KLF12;GBE1;NT5C2;EYA2;ANXA2;CALCRL;PKN2;TP53BP1;PIGV;TTC39B;PPP1CB;DMRTA1;OAZ2;PDK1;LPL;KANK2;TMEM167A;HAVCR1;HLA-DQA2;KCNE4;ZFAND6;ZFAND3;LEKR1;UBR1;OAS3;EVI5;PTBP2;SCAMP1;COG5;NEGR1;CSNK1G3;ATP2B1;C12orf43;KLHL8;KCTD10;L3MBTL3;TLR4;RNF6;AKAP12;SPC24;GLIS3;POC5;HOXC6;TOMM20;DNM3;KREMEN1;TCTN1;KBTBD8;GUCY1A3;FPGT-TNNI3K;STAG1;RHOU;MIA3;ITPR2;FGF2;ETV1;TNFAIP8;USP53;HECW1;RAD23B;JAZF1;SACS;IDE;NCAM1;MTHFD2L;C4orf33;CITED2;REEP3;DUSP3;DAGLB;DTNB;POMC;ANKS1B;ANKS1A;PROX1;METTL8;SEMA3C;TRPS1;VPS26A;MET;WWOX;ZNF131;HIVEP1;UBE2L3;LGR5;TAL1;RMI2;CPNE8;ZC3HC1;PXK;LRP1B;DGKB;PLS1;ACAP2;TMEM160;RAB3D;GPC6;SSBP3;MTAP;RASA2;MMS22L;PTPRD;GORAB;SPATA5"
"38","822","61","2.1600e-10","1.6128e-8","CDKN2B;STAB1;CYB5R2;DAPK1;HDAC9;SMAD6;DOCK1;CLMN;ZFHX3;INSR;ANXA2;MARCH1;ITIH1;HLA-DRB5;RASAL2;FLT3;LY86;PECAM1;CEBPA;MAP9;LILRB2;MPP3;FAM46A;XRCC4;RNF130;PVRL2;C3;CITED2;JAG1;SEMA3C;DUSP3;LIPA;MAFB;ZBED3;KIAA1456;CALCRL;CD36;MRAS;UBE2E2;PPARG;RPH3A;VEGFA;SH2B3;PLEKHO2;HHEX;ATP1B1;ZMIZ1;ZEB2;PSRC1;LRP1;ETV5;KCTD15;NYNRIN;ALDH2;VIM;NIPSNAP3A;CPNE8;LACTB;SORT1;TMEM176A;TMEM167A"
"20","103","18","2.1878e-9","1.2252e-7","PECAM1;PDGFRA;NPR3;PCNXL2;MECOM;WISP1;PDE3A;KIAA1462;BCL2;PRDM5;GUCY1A3;MARCKS;CNTN4;GUCY1B3;EDNRA;CTBP2;STK39;ZEB2"
"162","1789","100","3.9551e-9","1.7719e-7","CLMN;ZFAND3;RANBP10;MARCH8;FURIN;PECAM1;ADAMTS7;POC1B;GRK5;CACNA1D;PLXND1;SMAD6;CASZ1;TSC22D1;COG5;CSNK1G2;HMGCR;FAM120AOS;ADCY5;ADCY3;ADCY9;COPS8;POC5;DOCK6;HOXC6;SEPT9;EDC4;DNM2;CMIP;SKI;PCNXL3;ANXA11;TNS1;MAU2;CSK;MMS22L;VEGFB;LAMC2;PHLDB1;COL16A1;TUB;ZEB2;GNAS;CILP2;NYNRIN;ZC3H4;PRDM5;ZNF423;CDKAL1;TMEM133;TLE1;SMAD3;SSBP3;SLC4A7;CSMD1;AKAP13;ITIH4;ZNF536;CACNB2;CBLN1;MARK4;LAMA2;RBPMS2;GNB1;CELSR2;LDLR;COL5A1;FADS1;FAIM2;ATXN2L;LRP1;IRS1;SPAG17;ABCA1;ZMIZ1;LDLRAP1;MTHFD1L;LIMS2;INSR;ARL15;MAP4;NLRC5;RPTOR;CPNE8;ARAP1;WARS2;FAM60A;GDF5;RAI1;DGKG;DAPK1;ULK4;DHH;RXRA;PBX4;AXIN1;MAST2;DSCAML1;TOM1L2;NFIX"
"82","792","56","6.7679e-9","2.5267e-7","SSPN;PDGFRA;AKAP13;HDAC9;RCAN2;CLMN;KIAA1462;PDZRN4;NTRK2;CNTN4;TBX5;AUTS2;RASAL2;SOX6;NCAM1;NAV1;RBPMS2;DLG4;ALCAM;ZNF608;AFF1;CPNE4;ETS2;DGKI;MAGI2;PTPRD;DNER;ZEB2;CDKN2B;BRCA2;KIAA1456;ERBB4;PALM2;TSC22D1;KCNK17;LPP;IGFBP2;COL4A4;ABLIM3;ABHD2;TSPAN8;ANKS1A;GALNT2;CHD1L;ETV5;KCTD15;FN1;TNFAIP8;AK5;ADARB1;AR;SLC22A3;TTC39B;PDGFD;LMOD1;BCL2"
"208","4120","184","5.0112e-8","0.0000016036","KCNE2;GNPDA2;PPP2R3A;CD36;RAPGEF4;MARCH6;MARCH1;KIAA1429;RASAL2;SETD2;CERS2;POC1B;SYNJ2BP;CAMK4;IRF2BP2;EVI5;TMEM57;BANK1;HBS1L;ZNF664;CDKN2B;BRCA2;DAAM1;LRRC7;LRRC2;LPP;ADH5P4;CSNK1G3;PIK3C2G;MACROD2;VPS26A;UBR1;TMEM161B;KLHL8;USP37;AKAP6;RBM43;FN1;SCARB2;PTPN11;RFX7;GRB14;GSK3B;PTEN;FOXA2;PLTP;TLR4;RNF6;CTBP2;WFS1;HSD17B12;DOCK7;PDS5B;SWAP70;XRCC4;MPHOSPH9;ADORA2A;APOB;RAB3GAP1;INADL;JMJD1C;ANGPTL3;DYNC2LI1;TMEM45B;PKN2;KLHL32;STAG1;PALM2;FPGT-TNNI3K;EHBP1;MMS22L;SLC39A8;ABCB11;PAX6;INSIG2;ACAP2;MIA3;ITPR2;COG5;FGF2;ETV1;RBFOX3;CAMSAP2;HNF4G;USP53;PRKD1;NIPSNAP3B;CACNB2;CAHM;BTBD7;ZNF507;TMEM133;MAP3K1;ATP6AP1L;HDAC9;JAZF1;ZFHX3;TLE4;SLC4A7;MTIF3;KIF11;SACS;OLFM4;ITIH1;FOXP2;BCAS3;MCTP2;ENPEP;ZBTB10;SNX13;SNX10;SGCG;ALCAM;C4orf33;RABEP1;C3;FANCL;CADM2;LINC00348;TGFBR3;LYPLAL1;DAGLB;COL25A1;BARX2;PTBP2;TYW5;HOXC6;METTL8;SLCO1B1;TRPS1;BUD13;GRIK1;PGPEP1;SPAG16;FITM2;CNTNAP2;PBRM1;MYO16;FAM46A;LDLRAP1;ABCA8;RBM5;CPEB4;LEKR1;FOXO3;BMPR1A;SRBD1;ARL15;TAL1;MAP9;SOX6;ZNF12;COBLL1;AP3B1;KLF12;CPNE8;DPYD;KDM4C;CLIP1;ATG7;DICER1;SOX5;PLS1;TTLL7;PIGC;CALCRL;RBMS1;INTS8;REST;ATG4C;CREB1;GPC6;MTAP;RASA2;DMXL2;SBNO1;NCK1;KAT5;PTPRD;GGNBP2;GORAB;PPP3CA;SERPINH1;SPATA5"
"177","406","34","1.3920e-7","0.0000038975","SACS;PPP2R3A;RAB3GAP1;BMPR1A;SLC4A7;CNTN4;RCAN2;BDNF;CBX1;CHD1L;ZNF608;GRK5;KCNMA1;ARHGAP26;NT5C2;DUSP3;TTLL7;NPR3;MACF1;PALM2;TSC22D1;KANK1;LPP;ANKS1B;PPP1R3B;AKAP6;CNNM2;BMP2;PTPN11;USP53;CXXC5;SLC22A3;SORT1;NOV"
"6","1105","66","2.0066e-7","0.0000049942","CCNE1;AUTS2;RASD1;ST6GAL1;C3orf67;CLMN;TLE4;FOXO3;OSBPL1A;MAP4;OLFM4;DTNB;SEC16B;MAFB;RREB1;ARNTL;ADORA2A;HERPUD1;RARB;CHD1L;ASB4;CTCFL;KCTD15;ZNF608;DGAT2;IRF2BP2;GBE1;HPR;KREMEN1;CITED2;DGKG;KLF9;EYA2;KLF13;ZBED3;WISP1;LIPG;NUP93;GCK;DUSP3;FAM212B;UBE2R2;HMGA1;PTPDC1;CUX2;TP53BP1;SH2B3;ADM;GMPR;RHOU;LPAL2;ZNRF3;TBX3;MTHFD1L;ARHGAP26;SLC17A2;ADARB1;GTF3A;ADRB1;PLEKHA7;CYP26A1;MYLIP;FAM117B;PRDM8;CPS1;ASAP3"
"106","395","33","2.2387e-7","0.0000050147","IL20RA;PCK1;EPB41L4B;CD36;TENM2;DGKB;SERPINA3;GPRC5B;LEP;ZNF536;GPAM;KCNK5;DGAT2;NTRK2;LRP1B;C3;CADM2;TGFBR3;KCNJ12;COL25A1;MLXIPL;EHBP1;LRRC2;PPARG;LPL;EBF1;RSPO3;ADCY3;PEX5L;ABCA6;ADRB1;HUNK;ABCA8"
