"module","module_size","overlap","p","FDR","genes"
"20","103","7","7.7098e-7","0.00017270","PECAM1;PDGFRA;PDE3A;KIAA1462;GUCY1A3;EDNRA;ZEB2"
"33","347","9","0.000055542","0.0062207","RASD1;CDKN1A;TSC22D2;SLC22A4;LDLR;RND3;OSM;TRIB1;MCL1"
"82","792","13","0.00014484","0.0091155","CDKN2B;PDGFRA;PDGFD;HDAC9;RBPMS2;KIAA1462;COL4A4;AKAP13;SLC22A3;ABHD2;ANKS1A;LMOD1;ZEB2"
"70","400","9","0.00016278","0.0091155","HHIPL1;MARK4;NOS3;PCNXL3;SKI;DHX38;RAI1;TOM1L2;SMARCA4"
"38","822","13","0.00020804","0.0093202","CDKN2B;PECAM1;PSRC1;MAP9;HDAC9;MRAS;ATP1B1;RPH3A;SH2B3;SORT1;ZEB2;LIPA;LY86"
"3","115","5","0.00025910","0.0096730","OSM;CDKN1A;PMAIP1;TRIB1;MCL1"
"177","406","8","0.00089676","0.028696","CNNM2;PPP2R3A;USP53;BMPR1A;ARHGAP26;SLC22A3;SORT1;NT5C2"
"152","44","3","0.0013062","0.036572","GOSR2;DDX59;APOC1"
"195","198","5","0.0029469","0.066365","PODXL;PECAM1;PLEKHG1;NOS3;FLT1"
"217","1954","19","0.0031977","0.066365","ATPAF2;PKN2;NGF;GGCX;CAMSAP2;SERPINH1;PPP2R3A;USP53;MAP3K4;IL6R;GOSR2;DDX59;REST;MIA3;ATP2B1;SWAP70;MAP9;BCAS3;ZNF507"
"74","124","4","0.0032590","0.066365","ANXA11;TNS1;MAP4;ARVCF"
"150","64","3","0.0038269","0.071435","LIPA;APOE;APOC1"
"14","4424","34","0.0043005","0.074100","HSD17B12;GNPDA2;JAZF1;TMEM161B;BMPR1A;EDNRA;SWAP70;MAP9;FLT1;DDX59;LPAL2;SNX10;ZC3HC1;UBTF;PDE3A;HDAC9;GUCY1A3;ARHGAP26;PKN2;TSC22D2;LRRC2;KIAA1462;REST;MIA3;ATP2B1;MTAP;ZEB2;PLEKHG1;CAMSAP2;USP53;RND3;ATXN2;ZNF507;ZNF652"
"32","336","6","0.0062961","0.098338","ATXN2;MAP3K4;SMAD3;AKAP13;ABHD2;HIP1"
"162","1789","17","0.0065851","0.098338","PECAM1;ADAMTS7;PCNXL3;TOM1L2;RBPMS2;COG5;SMAD3;MARK4;RAI1;LDLR;AKAP13;MAP4;ANXA11;TNS1;ZEB2;SKI;FURIN"
"191","169","4","0.0096310","0.13483","BMPR1A;TSC22D2;CNNM2;NT5C2"
"39","182","4","0.012375","0.16297","ABHD2;OBFC1;PDGFD;MFGE8"
"29","8086","52","0.014455","0.16297","HSD17B12;GGCX;PMAIP1;GNPDA2;OAZ2;PPP2R3A;JAZF1;TMEM161B;BMPR1A;LPL;EDNRA;SWAP70;MAP9;SKI;UBTF;FLT1;DDX59;APOB;SNX10;MTAP;ZC3HC1;CYP46A1;PDE3A;HDAC9;GUCY1A3;C3orf38;DYNC2LI1;NT5C2;PKN2;ACSS2;TSC22D2;MRAS;LRRC2;ABO;CNNM2;COL4A2;MIA3;ATP2B1;C12orf43;ANKS1A;COG5;ZEB2;NME7;TRAFD1;BNC2;CAMSAP2;PARP12;USP53;RND3;REST;ZNF507;SPC24"
"137","299","5","0.015963","0.16297","TNS1;GGCX;AKAP13;MAP4;SMAD3"
"8","5920","40","0.016577","0.16297","HSD17B12;PDGFRA;GNPDA2;JAZF1;TMEM161B;DHX38;PDGFD;SWAP70;MAP9;SMARCA4;DDX59;APOB;SNX10;ZC3HC1;UBTF;PDE3A;HDAC9;GUCY1A3;C3orf38;DYNC2LI1;TCF21;PKN2;PHACTR1;TSC22D2;REST;RPH3A;MIA3;ATP2B1;ANKS1A;MTAP;ZEB2;TRAFD1;BNC2;CAMSAP2;USP53;SLC22A5;RND3;GOSR2;SARS;LMOD1"
"171","200","4","0.016932","0.16297","ANXA11;ADAMTS7;COL4A2;COL4A1"
"206","113","3","0.018092","0.16297","PLEKHG1;CXCL12;FLT1"
"58","205","4","0.018361","0.16297","GNPDA2;MARK4;C12orf43;TSC22D2"
"28","681","8","0.019023","0.16297","MFGE8;MRAS;PODXL;LPL;COL4A4;CXCL12;LMOD1;TCF21"
"18","116","3","0.019380","0.16297","PHACTR1;OSM;PMAIP1"
"138","44","2","0.019607","0.16297","DHX38;UBTF"
"31","820","9","0.019643","0.16297","ADAMTS7;SMG6;PCNXL3;RAI1;NOS3;COL4A2;SERPINH1;SKI;TOM1L2"
"60","452","6","0.023969","0.19175","ACSS2;ZC3HC1;UBE2Z;GOSR2;SARS;BCAS3"
"44","128","3","0.025028","0.19332","PPP2R3A;COL4A4;ATP1B1"
"212","54","2","0.028736","0.21456","CXCL12;COL4A1"
"113","141","3","0.032042","0.23153","PODXL;PECAM1;NOS3"
"154","930","9","0.039334","0.27534","HSD17B12;SMG6;PHACTR1;WDR12;BNC2;MRAS;SMAD3;SLC22A5;C12orf43"
"194","68","2","0.043774","0.29713","PARP12;TRAFD1"
"98","72","2","0.048504","0.30752","ACSS2;PCSK9"
"81","5649","36","0.050725","0.30752","HHIPL1;ATPAF2;NGF;TOMM40;MFGE8;RBPMS2;CYP17A1;PCSK9;APOC1;SMARCA4;BCAS3;FURIN;DCPS;PECAM1;APOE;LPAL2;KCNK5;CYP46A1;ATP5SL;MAP3K4;MARK4;ANXA11;KSR2;LIPA;ACSS2;FES;MIA3;CXCL12;PEMT;BMP1;SCARB1;WDR12;UBE2Z;SORT1;ZNF652;SPC24"
"189","74","2","0.050936","0.30752","PLG;APOA1"
"220","74","2","0.050936","0.30752","SORT1;HIP1"
"127","75","2","0.052168","0.30752","VAMP8;LY86"
"15","2476","18","0.058051","0.33342","PMAIP1;RASD1;UBE2Z;CDKN1A;TSC22D2;RBPMS2;LDLR;SH2B3;SLC22A4;OBFC1;RPH3A;APOC2;TRIB1;MCL1;OSM;ZNF652;NT5C2;FLT1"
"108","307","4","0.064174","0.35108","BMPR1A;SLC22A5;ANKS1A;SPC24"
"178","438","5","0.064260","0.35108","ZC3HC1;LDLR;MTAP;ATP5SL;TOM1L2"
"208","4120","27","0.066903","0.35161","KCNE2;HSD17B12;GNPDA2;PPP2R3A;JAZF1;TMEM161B;SLCO1B1;BMPR1A;SWAP70;MAP9;BCAS3;ADORA2A;APOB;SNX10;MTAP;HDAC9;DYNC2LI1;CDKN2B;PKN2;LRRC2;REST;MIA3;COG5;CAMSAP2;USP53;SERPINH1;ZNF507"
"10","10798","62","0.067496","0.35161","KCNE2;HHIPL1;NGF;TOMM40;PMAIP1;MFGE8;POM121L9P;CDKN1A;RBPMS2;SH2B3;DHX38;KCNK5;PCSK9;ZNF652;TRIB1;APOC1;EDNRA;SMARCA4;FURIN;DCPS;ADAMTS7;SMG6;PCNXL3;RASD1;WDR12;HIP1;CYP46A1;ATPAF2;ATP5SL;MARK4;RAI1;UBE2Z;OSM;AKAP13;ANXA11;CDKN2B;NOS3;ARVCF;IL6R;GOSR2;LDLR;APOE;COL4A2;COL4A1;MCL1;PSRC1;TRAFD1;PEMT;BMP1;ABCG8;SCARB1;PARP12;SLC22A5;COL4A4;TOM1L2;FES;SLC22A3;SORT1;SERPINH1;SPC24;LMOD1;NOA1"
"140","89","2","0.070474","0.35877","BCAS3;MAP4"
"47","462","5","0.076777","0.38218","ATPAF2;SARS;SCARB1;TOMM40;SERPINH1"
"186","206","3","0.080373","0.39138","BNC2;ABO;PROCR"
"123","625","6","0.086736","0.41338","OAZ2;JAZF1;LRRC2;TNS1;LMOD1;FURIN"
"7","634","6","0.091343","0.41828","SNX10;ACSS2;IL6R;TRIB1;ABHD2;FLT1"
"114","218","3","0.091499","0.41828","BMPR1A;EDNRA;FLT1"
"35","223","3","0.096314","0.42311","CAMSAP2;PKN2;REST"
"23","355","4","0.096727","0.42311","ARVCF;SCARB1;TOMM40;FURIN"
"16","958","8","0.098222","0.42311","NOS3;PCNXL3;PEMT;BMP1;ARVCF;KCNK5;ATP2B1;SMARCA4"
"169","228","3","0.10123","0.42784","SWAP70;PLEKHG1;PHACTR1"
"204","112","2","0.10418","0.42916","PDGFRA;PDGFD"
