"module","module_size","overlap","p","FDR","genes"
"10","10798","144","1.4101e-8","0.0000031585","KCNE2;AOC1;MFGE8;SUMO4;FCHO1;SIDT2;LYRM4;PHYHIP;FURIN;PPP1R3G;ADAMTS7;ANAPC13;DMPK;SUSD1;GDPGP1;CTSH;WDR6;MRPS6;KRT8P23;NIPSNAP1;RPL7P14;IGHMBP2;RPL13;CENPW;TSPAN9;SNRPD2;PSRC1;SYPL2;COL7A1;BMP1;LLGL1;GSK3A;ZKSCAN1;LINC00987;NYAP1;PAK1;HHIPL1;PDLIM4;MRPL21;MSL2;PCMT1;SDK2;UHRF1BP1;TANGO2;TMEM59L;EDNRA;LINC00933;CDC123;TDRD15;EXOSC5;PPP1R1C;APOE;TRIM5;PREX1;LAYN;ST3GAL4;PEPD;AGPAT4;NGRN;SF3A3;PPP1R9B;GID4;MRGPRF-AS1;C11orf1;DPYSL2;STAG3;TMEM91;CHST8;MAP1S;ZNF827;EPS15L1;KLRG1;PAX8;BCAM;MCM6;LINC01137;RASA4CP;OTOF;SNHG8;SLC22A5;UBE2Z;SLC22A3;EFCAB5;RNF123;TRIM4;ANKRD13B;ZNF235;TAF11;TRIM58;PSTPIP1;BTBD16;ATXN7L2;PTX3;FHL3;PSMA5;S100A5;SRD5A1;ENGASE;KIAA1324;ARVCF;NAGLU;QPCTL;CCDC36;CELSR2;IL6R;SRR;FES;MXRA7;SORT1;CYP2C8;TDRKH;TPCN2;PAX8-AS1;PGPEP1;SRP68;SREBF1;BLMH;LMOD1;HAPLN3;CDKN2B;PPP2R1B;WDR86;DCPS;VEPH1;CCDC167;OLFM5P;DMWD;RAI1;FOLH1;DRG2;AP4M1;PCDHB9;MRGPRF;GOSR2;PRKCZ;SNF8;SNRPC;CYP17A1-AS1;RPL12P16;VAMP5;THG1L;TUBG2;TOM1L2;M6PR"
"40","1643","32","0.000045894","0.0051401","ANKRD13B;AOC4P;MFGE8;SIDT2;LRFN5;PCDHB9;ATXN7L2;FURIN;PPP1R3G;ADAMTS7;RAI1;PILRB;WDR6;ST3GAL4;TPO;CCDC36;CELSR2;MRGPRF;IGHMBP2;SUFU;CDC123;TSPAN9;IP6K2;ST6GALNAC1;DBH;BCAM;COL7A1;TPCN2;LLGL1;DMWD;TOM1L2;NYAP1"
"39","182","8","0.00028058","0.020950","PPP1R3G;CDH13;PDGFD;CAMK1D;MFGE8;ITGA1;ABHD2;HTRA1"
"77","5818","75","0.00077284","0.037780","KCNE2;VSNL1;MFGE8;PCCB;ITGA1;ARL3;WLS;NIPSNAP1;POLR3D;N4BP2L2;TRIM58;PCDHGB6;LRFN5;QPCTL;MAFB;PNMA2;ATXN7L2;EXOSC5;PPP1R3G;DRG2;ICA1L;FHL3;KIAA1324;ST3GAL4;ARVCF;PDE3A;PEPD;PILRA;AGPAT4;DMPK;SUSD1;S100A5;GDPGP1;AP4M1;MRGPRF;FOLH1;PDLIM4;WDR6;PRSS12;DPYSL2;CALCRL;STAG3;NAGLU;FHL5;MRGPRF-AS1;TAF1A;ADGRF3;AMIGO1;DCPS;FES;ABHD2;LOXL4;C12orf43;TSPAN9;CYP2C8;PAFAH2;SYPL2;NIPAL4;NUP210L;LLGL1;RASA4CP;ARNT;IRS2;IPO9;VWDE;TWIST1;SRP68;UBE2Z;EXTL1;SLC22A3;EFCAB5;NYAP1;NBEAL1;HAPLN3;TANGO2"
"82","792","17","0.0010499","0.037780","FAM213A;CDKN2B;SDK2;BRCA2;DPYSL2;SEMA5A;SYNPO2;GPR63;FHL5;ABHD2;PDGFD;PSTPIP1;PDE4C;LMOD1;HTRA1;PDE5A;SLC22A3"
"4","5796","74","0.0011185","0.037780","FAM213A;KCNE2;PPP2R1B;MRPL21;TDRKH;NIPSNAP1;SMAD3;WDR86;TANGO2;LYRM4;TMEM59L;QPCTL;ATXN7L2;EXOSC5;DCPS;DRG2;APOE;PREX1;LAYN;SNHG18;HHIPL1;AGPAT4;CCDC167;PEPD;FAM114A1;DNALI1;TARID;DMPK;SUSD1;GDPGP1;NT5C2;LINC00987;PDLIM4;TAF1A-AS1;SDK2;BRCA2;DPYSL2;ARVCF;TPO;MRPS6;NAGLU;TMEM91;CCDC36;PSRC1;ADGRF3;MAP1S;FER;GPR63;RPL13;ABHD2;SNRPC;KLRG1;IP6K2;RPL12P16;CYP2C8;INPP5B;VAMP5;COL7A1;THG1L;RASA4CP;GSK3A;TRIM4;AP4M1;SLC22A5;PRKCZ;BLMH;TUBG2;LINC00310;SNF8;LINC01197;TRIM5;PAK1;HAPLN3;FES"
"214","229","8","0.0012638","0.037780","C11orf1;MRPS6;ARL3;SF3A3;PCMT1;TAF11;CFDP1;PSMA5"
"140","89","5","0.0013493","0.037780","EPS15L1;AMIGO1;PAK1;THOC5;C6orf106"
"178","438","11","0.0024431","0.060805","FAM213A;ITGA1;AGPAT4;DIXDC1;CSNK1G3;DGKH;PRKCZ;TOM1L2;EPS15L1;ICA1L;CFDP1"
"162","1789","28","0.0038583","0.084837","IL20RB;ANKRD13B;SIDT2;TAF11;SLC5A3;ATXN7L2;FURIN;ADAMTS7;TRIM5;POC1B;RAI1;PILRB;CELSR2;CYP20A1;USP10;MAP1S;IGHMBP2;SMAD3;DBH;BCAM;COL7A1;DMWD;GSTM3;GSK3A;WDR86;SREBF1;TOM1L2;RNF123"
