




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (319)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
organic acid metabolic process (GO:0006082)	1015	54	15.39	+	3.51	2.78E-15	4.34E-11
oxoacid metabolic process (GO:0043436)	998	53	15.13	+	3.50	5.62E-15	4.38E-11
drug metabolic process (GO:0017144)	670	42	10.16	+	4.13	2.90E-14	1.51E-10
small molecule metabolic process (GO:0044281)	1855	72	28.12	+	2.56	2.58E-13	1.01E-09
oxidation-reduction process (GO:0055114)	958	46	14.52	+	3.17	1.22E-11	3.81E-08
carboxylic acid metabolic process (GO:0019752)	903	44	13.69	+	3.21	2.29E-11	5.95E-08
monocarboxylic acid metabolic process (GO:0032787)	504	29	7.64	+	3.80	2.32E-09	5.16E-06
xenobiotic metabolic process (GO:0006805)	124	13	1.88	+	6.92	1.47E-07	2.86E-04
cellular response to xenobiotic stimulus (GO:0071466)	177	15	2.68	+	5.59	2.12E-07	3.68E-04
small molecule catabolic process (GO:0044282)	416	23	6.31	+	3.65	2.19E-07	3.42E-04
fatty acid metabolic process (GO:0006631)	320	20	4.85	+	4.12	2.24E-07	3.17E-04
organic acid catabolic process (GO:0016054)	261	18	3.96	+	4.55	2.36E-07	3.06E-04
carboxylic acid catabolic process (GO:0046395)	261	18	3.96	+	4.55	2.36E-07	2.83E-04
carboxylic acid biosynthetic process (GO:0046394)	332	20	5.03	+	3.97	3.88E-07	4.33E-04
organic acid biosynthetic process (GO:0016053)	333	20	5.05	+	3.96	4.06E-07	4.22E-04
response to xenobiotic stimulus (GO:0009410)	278	18	4.21	+	4.27	5.62E-07	5.48E-04
purine nucleotide metabolic process (GO:0006163)	386	21	5.85	+	3.59	9.55E-07	8.77E-04
purine-containing compound metabolic process (GO:0072521)	422	22	6.40	+	3.44	1.03E-06	8.93E-04
nucleic acid metabolic process (GO:0090304)	4034	29	61.16	-	.47	1.19E-06	9.76E-04
triglyceride biosynthetic process (GO:0019432)	19	6	.29	+	20.83	1.48E-06	1.15E-03
antibiotic metabolic process (GO:0016999)	130	12	1.97	+	6.09	1.54E-06	1.14E-03
purine ribonucleotide metabolic process (GO:0009150)	369	20	5.59	+	3.58	1.84E-06	1.30E-03
acylglycerol biosynthetic process (GO:0046463)	21	6	.32	+	18.85	2.40E-06	1.63E-03
neutral lipid biosynthetic process (GO:0046460)	21	6	.32	+	18.85	2.40E-06	1.56E-03
ribonucleotide metabolic process (GO:0009259)	384	20	5.82	+	3.44	3.26E-06	2.03E-03
response to oxygen-containing compound (GO:1901700)	1488	46	22.56	+	2.04	5.46E-06	3.28E-03
