"target_tissue","target_clust","target_gene_symbol","endocrine","source_tissue","source_clust","cor","p","key_driver_FDR"
"LIV",98,"ACACA","LEP","VAF",78,0.328019026341359,4.41180151944959e-14,NA
"LIV",98,"ADIPOR2","LEP","VAF",78,0.31065525248146,1.02561633465014e-12,NA
"LIV",98,"SQLE","LEP","VAF",78,0.309773827730094,1.19674183415391e-12,NA
"LIV",98,"ACACB","LEP","VAF",78,0.301350133586989,5.09615308729687e-12,NA
"LIV",98,"PNPLA3","LEP","VAF",78,0.291594175327617,2.57595549271345e-11,NA
"LIV",98,"TMCO6","LEP","VAF",78,-0.291129747207226,2.7782728373087e-11,1.35066712165259e-19
"VAF",98,"GSR","LEP","VAF",78,0.279842688669137,4.78856055431235e-11,NA
"LIV",98,"HMGCS1","LEP","VAF",78,0.28193078404115,1.20758216910773e-10,5.58412653354701e-30
"LIV",98,"FAM213A","LEP","VAF",78,0.279607504962043,1.73549303934031e-10,NA
"LIV",98,"ELOVL6","LEP","VAF",78,0.276215170982142,2.92939340026877e-10,NA
"LIV",98,"SREBF2","LEP","VAF",78,0.273696102939459,4.30128564038858e-10,5.81378709234782e-05
"LIV",98,"IDI1","LEP","VAF",78,0.270393852182774,7.07467440121842e-10,NA
"LIV",98,"HSD17B7","LEP","VAF",78,0.269049680590472,8.64647325303572e-10,3.2370696429958e-23
"LIV",98,"NSDHL","LEP","VAF",78,0.268217567618548,9.7844793158138e-10,NA
"LIV",98,"MVD","LEP","VAF",78,0.266925093356712,1.18462357731686e-09,1.02325892218297e-27
"LIV",98,"FDFT1","LEP","VAF",78,0.262128730308955,2.38720754334304e-09,2.12173714047761e-23
"LIV",98,"TDRKH","LEP","VAF",78,0.26149810205488,2.61487149514384e-09,NA
"LIV",98,"RUSC1-AS1","LEP","VAF",78,0.260516995553844,3.01154313030427e-09,3.9841649730727e-07
"LIV",98,"HMGCR","LEP","VAF",78,0.252287429054049,9.62534188748279e-09,NA
"LIV",98,"PCSK9","LEP","VAF",78,0.250991591690814,1.15153071211898e-08,2.64487723879423e-17
"LIV",98,"PI4K2A","LEP","VAF",78,0.250400170250737,1.24930016652998e-08,NA
"LIV",98,"FADS2","LEP","VAF",78,0.249278793352793,1.45721658754591e-08,NA
"LIV",98,"CTD-2636A23.2","LEP","VAF",78,0.249099309945204,1.49346496459741e-08,NA
"LIV",98,"ELOVL5","LEP","VAF",78,0.248325160282428,1.66006951109324e-08,3.80097933647115e-08
"LIV",98,"HSD17B7P2","LEP","VAF",78,0.244455596764283,2.80164114788754e-08,NA
"LIV",98,"TIMM10B","LEP","VAF",78,0.232305488035134,1.368984138846e-07,NA
"LIV",98,"FADS1","LEP","VAF",78,0.230319300451616,1.75996452553766e-07,NA
"LIV",98,"CYB5B","LEP","VAF",78,0.229645499751701,1.91555281769645e-07,NA
"LIV",98,"MMAB","LEP","VAF",78,0.223340007984766,4.17955174311554e-07,NA
"LIV",98,"ACSS2","LEP","VAF",78,0.22268633411971,4.52579414593073e-07,1.51196304724992e-19
"LIV",98,"ALDOC","LEP","VAF",78,0.220681862753201,5.76811056379838e-07,NA
"LIV",98,"CTD-2235C13.3","LEP","VAF",78,0.220099981480574,6.18625947013372e-07,NA
"LIV",98,"MVK","LEP","VAF",78,0.219324696740986,6.78885313003272e-07,NA
"LIV",98,"NPC1L1","LEP","VAF",78,0.21690615867822,9.05282871534125e-07,NA
"LIV",98,"ACAT2","LEP","VAF",78,0.214924100647263,1.14328239216645e-06,NA
"LIV",98,"C14orf1","LEP","VAF",78,0.212829130613838,1.45969212932112e-06,2.46883021079664e-40
"LIV",98,"CYP51A1","LEP","VAF",78,0.211287546959266,1.74446630340215e-06,NA
"LIV",98,"RDH11","LEP","VAF",78,0.210544400843031,1.90007302013855e-06,NA
"LIV",98,"RP11-159F24.2","LEP","VAF",78,0.208879275843677,2.29843645180851e-06,NA
"LIV",98,"FDPS","LEP","VAF",78,0.207100561567553,2.81188531191496e-06,NA
"LIV",98,"MSMO1","LEP","VAF",78,0.200259461295245,6.00804756455377e-06,NA
"LIV",98,"DHCR24","LEP","VAF",78,0.194995232179088,1.0590184971498e-05,NA
"LIV",98,"TLCD1","LEP","VAF",78,0.187412303610159,2.33377699762302e-05,NA
"LIV",98,"LSS","LEP","VAF",78,0.183869888870398,3.34022739886305e-05,2.15988612570114e-11
"LIV",98,"RP4-639F20.1","LEP","VAF",78,0.182146147145302,3.96732115977875e-05,NA
"LIV",98,"NEK8","LEP","VAF",78,0.18081104111088,4.5279427323981e-05,NA
"LIV",98,"RP5-821D11.7","LEP","VAF",78,0.178367516956342,5.75306740589883e-05,NA
"LIV",98,"ACLY","LEP","VAF",78,0.178314782289847,5.78267498959233e-05,1.2441778011513e-18
"LIV",98,"DHCR7","LEP","VAF",78,0.176945728597323,6.60361202007077e-05,NA
"LIV",98,"SC5D","LEP","VAF",78,0.176815424098847,6.68723347114512e-05,NA
"LIV",98,"SNAI3-AS1","LEP","VAF",78,0.163936565413819,0.000221992627233249,NA
"LIV",98,"RP11-297N6.4","LEP","VAF",78,0.163241095067846,0.000236272024251364,NA
"LIV",98,"VPS37D","LEP","VAF",78,0.152074287883394,0.000621373986052006,NA
"LIV",98,"TM7SF2","LEP","VAF",78,0.144409219194063,0.00116324546690037,NA
"LIV",98,"CYP51A1P2","LEP","VAF",78,0.138852372893242,0.0017992004401034,NA
"LIV",98,"C2orf82","LEP","VAF",78,0.137399548983931,0.00201139721198667,NA
"LIV",98,"TMEM97","LEP","VAF",78,0.13653166990988,0.00214884262896373,NA
"LIV",98,"AACS","LEP","VAF",78,0.136069935154775,0.00222541652081853,NA
"LIV",98,"MRPS27","LEP","VAF",78,0.135720265419409,0.00228505557974087,NA
"LIV",98,"CETN2","LEP","VAF",78,0.132421709367549,0.00292382935256696,NA
"LIV",98,"EBP","LEP","VAF",78,0.12744634525119,0.00419789839316729,1.31030044084685e-32
"LIV",98,"IDI2-AS1","LEP","VAF",78,0.125577861910141,0.00479362969431031,NA
"LIV",98,"PGD","LEP","VAF",78,0.124399140591073,0.00520764950382914,NA
"LIV",98,"FLVCR1","LEP","VAF",78,0.123579264703109,0.00551433681272795,NA
"LIV",98,"TMEM55B","LEP","VAF",78,0.120807487796037,0.00667515914979313,NA
"LIV",98,"SCD","LEP","VAF",78,0.115596375602575,0.00946432096073605,7.00644105625394e-10
"LIV",98,"NPC1","LEP","VAF",78,0.104073540777579,0.0195610855562954,NA
"LIV",98,"AP001469.5","LEP","VAF",78,0.10191514642793,0.022255035428595,NA
"LIV",98,"AK7","LEP","VAF",78,0.0906417651718334,0.0421526843168118,NA
"LIV",98,"TKT","LEP","VAF",78,0.0667038540032473,0.135187716903389,NA
"LIV",98,"AC144652.1","LEP","VAF",78,0.0498227895154579,0.264712727984272,NA
