"mod_id","mod_size","genes","eqtl_genes","eqtl_perc","type"
1,81,81,39,48.1481481481481,"tissue-specific"
2,66,64,19,29.6875,"cross-tissue"
3,115,115,18,15.6521739130435,"tissue-specific"
4,6137,5798,1837,31.6833390824422,"cross-tissue"
5,100,100,46,46,"tissue-specific"
6,1249,1105,410,37.10407239819,"cross-tissue"
7,634,634,274,43.217665615142,"tissue-specific"
8,6119,5934,1667,28.0923491742501,"cross-tissue"
9,4731,4465,1318,29.518477043673,"cross-tissue"
10,12254,10830,3503,32.3453370267775,"cross-tissue"
11,1016,1015,325,32.0197044334975,"tissue-specific"
12,57,57,17,29.8245614035088,"tissue-specific"
13,2876,2773,971,35.0162279120087,"cross-tissue"
14,4476,4429,1346,30.390607360578,"cross-tissue"
15,2599,2484,691,27.8180354267311,"cross-tissue"
16,958,958,265,27.6617954070981,"tissue-specific"
17,57,57,23,40.3508771929825,"tissue-specific"
18,116,116,27,23.2758620689655,"tissue-specific"
19,92,92,34,36.9565217391304,"tissue-specific"
20,103,103,39,37.8640776699029,"tissue-specific"
21,35,14,6,42.8571428571429,"cross-tissue"
22,83,83,3,3.6144578313253,"tissue-specific"
23,356,356,149,41.8539325842697,"cross-tissue"
24,80,80,41,51.25,"tissue-specific"
25,66,66,3,4.54545454545455,"tissue-specific"
26,379,378,166,43.9153439153439,"cross-tissue"
27,553,553,254,45.9312839059675,"tissue-specific"
28,683,681,198,29.0748898678414,"cross-tissue"
29,8672,8112,2783,34.3071992110454,"cross-tissue"
30,372,372,166,44.6236559139785,"tissue-specific"
31,820,820,268,32.6829268292683,"cross-tissue"
32,336,336,125,37.202380952381,"tissue-specific"
33,347,347,65,18.7319884726225,"cross-tissue"
34,207,207,25,12.0772946859903,"tissue-specific"
35,223,223,106,47.5336322869955,"tissue-specific"
36,307,307,110,35.8306188925081,"cross-tissue"
37,176,176,68,38.6363636363636,"tissue-specific"
38,822,822,340,41.3625304136253,"tissue-specific"
39,182,182,104,57.1428571428571,"tissue-specific"
40,1674,1644,530,32.2384428223844,"cross-tissue"
41,169,169,86,50.887573964497,"tissue-specific"
42,41,41,10,24.390243902439,"tissue-specific"
43,99,99,53,53.5353535353535,"tissue-specific"
44,128,128,49,38.28125,"tissue-specific"
45,170,170,53,31.1764705882353,"cross-tissue"
46,46,46,20,43.4782608695652,"tissue-specific"
47,463,462,171,37.012987012987,"tissue-specific"
48,57,57,25,43.859649122807,"tissue-specific"
49,209,209,95,45.4545454545455,"tissue-specific"
50,156,156,54,34.6153846153846,"tissue-specific"
51,270,269,43,15.9851301115242,"cross-tissue"
52,119,119,53,44.5378151260504,"tissue-specific"
53,718,718,231,32.1727019498607,"tissue-specific"
54,119,119,24,20.1680672268908,"tissue-specific"
55,190,190,70,36.8421052631579,"tissue-specific"
56,105,104,32,30.7692307692308,"cross-tissue"
57,261,256,78,30.46875,"cross-tissue"
58,205,205,92,44.8780487804878,"cross-tissue"
59,1569,1567,658,41.9910657306956,"cross-tissue"
60,457,452,186,41.1504424778761,"cross-tissue"
61,209,209,77,36.8421052631579,"tissue-specific"
62,38,38,3,7.89473684210526,"tissue-specific"
63,93,93,40,43.010752688172,"tissue-specific"
64,71,31,7,22.5806451612903,"cross-tissue"
65,114,114,16,14.0350877192982,"tissue-specific"
66,225,225,115,51.1111111111111,"tissue-specific"
67,98,96,46,47.9166666666667,"cross-tissue"
68,223,223,88,39.4618834080717,"cross-tissue"
69,500,499,173,34.6693386773547,"cross-tissue"
70,400,400,145,36.25,"cross-tissue"
