Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	14/169	0.00014816586170116494646474547547398969982168637216091156005859375	0.03215199198915279221733243275593849830329418182373046875	0.00028877076181111987172867028306200154474936425685882568359375	0.0626632553130130054430679820143268443644046783447265625	-1.814298057299226	15.996989323628023	ATF6B;DERL3;UBE2E3;EDEM2;UBE2D3;UBE2G2;DDOST;ERLEC1;NPLOC4;DAD1;LMAN2;PREB;STUB1;UBQLN4
Viral carcinogenesis_Homo sapiens_hsa05203	13/205	0.002981663263318627167530738830691916518844664096832275390625	0.1767497337796501144513428016580292023718357086181640625	0.004523874072331597086249477257524631568230688571929931640625	0.27108844387681874099627066243556328117847442626953125	-1.9314667609813165	11.232008421769125	VAC14;ATF6B;HPN;PXN;UBE3A;SCRIB;KAT2B;DLG1;CREB3L3;VDAC3;KRAS;ATP6V0D2;MAD1L1
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	10/137	0.003258059608841477015894749769131522043608129024505615234375	0.1767497337796501144513428016580292023718357086181640625	0.004997022006945967508018124902946510701440274715423583984375	0.27108844387681874099627066243556328117847442626953125	-1.5736797859865166	9.011871601139552	FZR1;FBXW8;UBE2E3;UBE2D3;UBE2U;UBE3A;STUB1;UBE3B;UBE2G2;CUL4B
Sulfur metabolism_Homo sapiens_hsa00920	3/10	0.00186005421842985567415507119903850252740085124969482421875	0.1767497337796501144513428016580292023718357086181640625	0.0041335515103745092135856253889869549311697483062744140625	0.27108844387681874099627066243556328117847442626953125	-1.3265855983995996	8.34044217004501	MPST;IMPAD1;CYCS
Huntington's disease_Homo sapiens_hsa05016	10/193	0.0309166799946851943159398246052660397253930568695068359375	0.95841707983524104808026322643854655325412750244140625	0.03961282473819301153117322655816678889095783233642578125	0.992588119968917936830621329136192798614501953125	-1.752185995313351	6.091403535400861	COX8A;NDUFA8;CREB3L3;POLR2A;VDAC3;CYCS;AP2A1;CYC1;COX6C;PPARGC1A
Salmonella infection_Homo sapiens_hsa05132	6/86	0.02519622439248479783824308242401457391679286956787109375	0.95841707983524104808026322643854655325412750244140625	0.032808705882197496117580470809116377495229244232177734375	0.992588119968917936830621329136192798614501953125	-1.605811259268925	5.911089394776804	KLC4;KLC2;IL18;MYH9;CXCL1;WASL
Longevity regulating pathway - mammal_Homo sapiens_hsa04211	6/94	0.036762947078331838224318772745391470380127429962158203125	0.99138732094582160403462012254749424755573272705078125	0.046351049476151297279447049959344440139830112457275390625	0.992588119968917936830621329136192798614501953125	-1.7195667742516845	5.680184420564059	CREB3L3;ATF6B;SESN2;EIF4EBP1;KRAS;PPARGC1A
Lysosome_Homo sapiens_hsa04142	7/123	0.04284532990355026382811587382093421183526515960693359375	0.99138732094582160403462012254749424755573272705078125	0.053403133728275931080275995554984547197818756103515625	0.992588119968917936830621329136192798614501953125	-1.5736398279576782	4.957215079768016	ABCA2;ASAH1;LAPTM4A;GAA;AP3S1;ATP6V0D2;ATP6V0C
TNF signaling pathway_Homo sapiens_hsa04668	6/110	0.06883971580905791365356805044939392246305942535400390625	0.99138732094582160403462012254749424755573272705078125	0.08260755039620402973010726555003202520310878753662109375	0.992588119968917936830621329136192798614501953125	-1.6184806593207124	4.3310128693884735	CEBPB;CREB3L3;ATF6B;CXCL1;TAB2;DNM1L
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	4/57	0.0616977265893136894714388063221122138202190399169921875	0.99138732094582160403462012254749424755573272705078125	0.07449180997209912946654952747849165461957454681396484375	0.992588119968917936830621329136192798614501953125	-1.4510689863974517	4.041964553050801	IL18;CXCL1;TAB2;SUGT1
Ribosome_Homo sapiens_hsa03010	7/137	0.06855124280156044136447235359810292720794677734375	0.99138732094582160403462012254749424755573272705078125	0.08250611709904127899495307474353467114269733428955078125	0.992588119968917936830621329136192798614501953125	-1.503735159847397	4.03027149227469	MRPL4;MRPL1;RPL23;RPS2;MRPS6;MRPL32;MRPS18C
