Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	14/151	0.0000326734562323543827771533953896465618527145124971866607666015625	0.007482221477209153974452515711845990153960883617401123046875	0.00017417592600156830344275415978216869916650466620922088623046875	0.039886287054359141623915974150804686360061168670654296875	-1.96319122636191	20.277699199291764	SREBF1;NDUFB9;NDUFB5;NDUFA4;NDUFC1;COX7A2;PIK3R1;ADIPOR1;COX6C;COX6B1;COX7A2L;RXRA;NDUFS4;ATF4
Oxidative phosphorylation_Homo sapiens_hsa00190	12/133	0.00015310190072334814458988871965772204930544830858707427978515625	0.0175301676328233624335695139961899258196353912353515625	0.0006362237151024026371448627514837426133453845977783203125	0.0728476153792251002183633090680814348161220550537109375	-1.8017383752033604	15.827202907862178	NDUFB9;COX7A2L;ATP6AP1;NDUFB5;NDUFA4;NDUFS4;NDUFC1;COX7A2;COX6C;ATP5G1;ATP6V1F;COX6B1
Prostate cancer_Homo sapiens_hsa05215	9/89	0.0004364532614832667377358088600658447830937802791595458984375	0.0249869492199170199764335364989165100269019603729248046875	0.00146362583087853402596945073810275061987340450286865234375	0.08379257881779607342043192375058424659073352813720703125	-1.896155052065375	14.670227896009548	CREB3;NRAS;HSP90AA1;MAP2K2;HSP90AB1;CCND1;PIK3R1;HSP90B1;ATF4
Alzheimer's disease_Homo sapiens_hsa05010	13/168	0.00037910222487553559521378243601930080330930650234222412109375	0.0249869492199170199764335364989165100269019603729248046875	0.0014407232142202848305945206419664827990345656871795654296875	0.08379257881779607342043192375058424659073352813720703125	-1.7918169263368373	14.11540456233906	NDUFB9;LRP1;NDUFB5;NDUFA4;LPL;NDUFC1;COX7A2;COX6C;ATP5G1;COX6B1;COX7A2L;NDUFS4;MAPT
Estrogen signaling pathway_Homo sapiens_hsa04915	9/99	0.000950780760521852986999480350505109527148306369781494140625	0.0311041134513577628706304523120707017369568347930908203125	0.002872020894498418346063584039029592531733214855194091796875	0.09395611212001968304274868160064215771853923797607421875	-1.755200560668426	12.213084032977466	CREB3;NRAS;HSP90AA1;MAP2K2;HSP90AB1;PIK3R1;HSP90B1;ATF4;HBEGF
Leukocyte transendothelial migration_Homo sapiens_hsa04670	10/118	0.000873977543391441825948451338490485795773565769195556640625	0.0311041134513577628706304523120707017369568347930908203125	0.0027460909802150931975639469584393737022764980792999267578125	0.09395611212001968304274868160064215771853923797607421875	-1.5979868919689868	11.253752178234915	ITGA4;NCF1;ROCK1;CYBA;PIK3R1;CLDN2;EZR;MAPK14;ACTB;MYL12B
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	12/169	0.001334660969669725257003012330869751167483627796173095703125	0.0382046702567958862406527487109997309744358062744140625	0.00421609445301753156531976429732821998186409473419189453125	0.12068570371762683823835260454870876856148242950439453125	-1.6471885116341636	10.902869197512862	PDIA3;HSP90AA1;HSP90AB1;RPN1;DNAJA2;CANX;ERP29;CALR;SVIP;CRYAB;HSP90B1;ATF4
Proteasome_Homo sapiens_hsa03050	6/44	0.000819507904855934672661010864658237551338970661163330078125	0.0311041134513577628706304523120707017369568347930908203125	0.00237022677602911381600225837473772116936743259429931640625	0.09395611212001968304274868160064215771853923797607421875	-1.532316636773071	10.889877855540991	PSMA6;PSMC5;PSMD7;PSMA4;PSMD4;POMP
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	18/341	0.0029948298139518543352355361975014602649025619029998779296875	0.05275507903038266499518016416914178989827632904052734375	0.01007442004308233864107169353019344271160662174224853515625	0.1538028126577236920358160432442673482000827789306640625	-1.755918765780053	10.203411942646468	HSP90AA1;MAP2K2;HSP90AB1;ITGA4;PPP2R3A;PIK3R1;GNG11;HSP90B1;CREB3;NRAS;RXRA;CCND2;CCND1;COL4A4;COL4A3;THEM4;JAK1;ATF4
Thyroid hormone synthesis_Homo sapiens_hsa04918	7/71	0.002164684995825165436666992491154815070331096649169921875	0.049571286404396286418005956875276751816272735595703125	0.005541518483206545574171197898749596788547933101654052734375	0.1269007732654298947760906912662903778254985809326171875	-1.5713568916024512	9.641029451594877	CREB3;GPX3;CANX;ATP1A2;TTF1;HSP90B1;ATF4
